environment,collective,lnc,world_size,config_ws,size_bytes,duration_us,throughput_gbps,busbw_gbps,jobid,source_log
trn2_3xl,all_gather,1,2,2,16,638.772,0.0,0.0,,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_c/lnc1_ws2/all_gather.log
trn2_3xl,all_gather,1,2,2,32,659.164,0.0,0.0,,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_c/lnc1_ws2/all_gather.log
trn2_3xl,all_gather,1,2,2,64,708.8,0.0,0.0,,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_c/lnc1_ws2/all_gather.log
trn2_3xl,all_gather,1,2,2,128,748.649,0.0,0.0,,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_c/lnc1_ws2/all_gather.log
trn2_3xl,all_gather,1,2,2,256,517.98,0.001,0.0,,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_c/lnc1_ws2/all_gather.log
trn2_3xl,all_gather,1,2,2,512,671.723,0.002,0.001,,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_c/lnc1_ws2/all_gather.log
trn2_3xl,all_gather,1,2,2,1024,418.589,0.005,0.002,,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_c/lnc1_ws2/all_gather.log
trn2_3xl,all_gather,1,2,2,2048,563.725,0.007,0.004,,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_c/lnc1_ws2/all_gather.log
trn2_3xl,all_gather,1,2,2,4096,206.926,0.04,0.02,,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_c/lnc1_ws2/all_gather.log
trn2_3xl,all_gather,1,2,2,8192,415.01,0.039,0.02,,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_c/lnc1_ws2/all_gather.log
trn2_3xl,all_gather,1,2,2,16384,699.79,0.047,0.023,,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_c/lnc1_ws2/all_gather.log
trn2_3xl,all_gather,1,2,2,32768,252.152,0.26,0.13,,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_c/lnc1_ws2/all_gather.log
trn2_3xl,all_gather,1,2,2,65536,213.622,0.614,0.307,,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_c/lnc1_ws2/all_gather.log
trn2_3xl,all_gather,1,2,2,131072,699.253,0.375,0.187,,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_c/lnc1_ws2/all_gather.log
trn2_3xl,all_gather,1,2,2,262144,753.362,0.696,0.348,,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_c/lnc1_ws2/all_gather.log
trn2_3xl,all_gather,1,2,2,524288,367.826,2.851,1.425,,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_c/lnc1_ws2/all_gather.log
trn2_3xl,all_gather,1,2,2,1048576,356.468,5.883,2.942,,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_c/lnc1_ws2/all_gather.log
trn2_3xl,all_gather,1,2,2,2097152,371.897,11.278,5.639,,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_c/lnc1_ws2/all_gather.log
trn2_3xl,all_gather,1,2,2,4194304,294.125,28.521,14.26,,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_c/lnc1_ws2/all_gather.log
trn2_3xl,all_gather,1,2,2,8388608,453.746,36.975,18.487,,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_c/lnc1_ws2/all_gather.log
trn2_3xl,all_gather,1,2,2,16777216,1091.315,30.747,15.373,,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_c/lnc1_ws2/all_gather.log
trn2_3xl,all_gather,1,2,2,33554432,1910.348,35.129,17.565,,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_c/lnc1_ws2/all_gather.log
trn2_3xl,all_gather,1,2,2,67108864,2856.661,46.984,23.492,,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_c/lnc1_ws2/all_gather.log
trn2_3xl,all_gather,1,2,2,134217728,5569.044,48.201,24.101,,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_c/lnc1_ws2/all_gather.log
trn2_3xl,all_gather,1,2,2,268435456,11373.929,47.202,23.601,,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_c/lnc1_ws2/all_gather.log
trn2_3xl,all_gather,1,2,2,536870912,32373.539,33.167,16.584,,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_c/lnc1_ws2/all_gather.log
trn2_3xl,all_gather,1,2,2,1073741824,64616.832,33.234,16.617,,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_c/lnc1_ws2/all_gather.log
trn2_3xl,all_reduce,1,2,2,16,524.498,0.0,0.0,,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_c/lnc1_ws2/all_reduce.log
trn2_3xl,all_reduce,1,2,2,32,199.491,0.0,0.0,,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_c/lnc1_ws2/all_reduce.log
trn2_3xl,all_reduce,1,2,2,64,695.738,0.0,0.0,,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_c/lnc1_ws2/all_reduce.log
trn2_3xl,all_reduce,1,2,2,128,427.846,0.001,0.0,,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_c/lnc1_ws2/all_reduce.log
trn2_3xl,all_reduce,1,2,2,256,263.652,0.002,0.001,,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_c/lnc1_ws2/all_reduce.log
trn2_3xl,all_reduce,1,2,2,512,156.069,0.007,0.003,,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_c/lnc1_ws2/all_reduce.log
trn2_3xl,all_reduce,1,2,2,1024,613.218,0.003,0.002,,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_c/lnc1_ws2/all_reduce.log
trn2_3xl,all_reduce,1,2,2,2048,545.8,0.008,0.004,,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_c/lnc1_ws2/all_reduce.log
trn2_3xl,all_reduce,1,2,2,4096,372.26,0.022,0.011,,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_c/lnc1_ws2/all_reduce.log
trn2_3xl,all_reduce,1,2,2,8192,481.01,0.034,0.017,,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_c/lnc1_ws2/all_reduce.log
trn2_3xl,all_reduce,1,2,2,16384,757.888,0.043,0.022,,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_c/lnc1_ws2/all_reduce.log
trn2_3xl,all_reduce,1,2,2,32768,627.181,0.104,0.052,,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_c/lnc1_ws2/all_reduce.log
trn2_3xl,all_reduce,1,2,2,65536,596.825,0.22,0.11,,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_c/lnc1_ws2/all_reduce.log
trn2_3xl,all_reduce,1,2,2,131072,657.45,0.399,0.199,,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_c/lnc1_ws2/all_reduce.log
trn2_3xl,all_reduce,1,2,2,262144,657.983,0.797,0.398,,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_c/lnc1_ws2/all_reduce.log
trn2_3xl,all_reduce,1,2,2,524288,657.573,1.595,0.797,,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_c/lnc1_ws2/all_reduce.log
trn2_3xl,all_reduce,1,2,2,1048576,608.85,3.444,1.722,,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_c/lnc1_ws2/all_reduce.log
trn2_3xl,all_reduce,1,2,2,2097152,772.241,5.431,2.716,,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_c/lnc1_ws2/all_reduce.log
trn2_3xl,all_reduce,1,2,2,4194304,229.39,36.569,18.285,,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_c/lnc1_ws2/all_reduce.log
trn2_3xl,all_reduce,1,2,2,8388608,408.965,41.024,20.512,,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_c/lnc1_ws2/all_reduce.log
trn2_3xl,all_reduce,1,2,2,16777216,1019.479,32.913,16.457,,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_c/lnc1_ws2/all_reduce.log
trn2_3xl,all_reduce,1,2,2,33554432,1623.914,41.325,20.663,,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_c/lnc1_ws2/all_reduce.log
trn2_3xl,all_reduce,1,2,2,67108864,2685.237,49.984,24.992,,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_c/lnc1_ws2/all_reduce.log
trn2_3xl,all_reduce,1,2,2,134217728,4904.542,54.732,27.366,,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_c/lnc1_ws2/all_reduce.log
trn2_3xl,all_reduce,1,2,2,268435456,9304.479,57.7,28.85,,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_c/lnc1_ws2/all_reduce.log
trn2_3xl,all_reduce,1,2,2,536870912,18040.121,59.52,29.76,,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_c/lnc1_ws2/all_reduce.log
trn2_3xl,all_reduce,1,2,2,1073741824,35667.668,60.208,30.104,,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_c/lnc1_ws2/all_reduce.log
trn2_3xl,broadcast,1,2,2,16,321.792,0.0,0.0,,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_c/lnc1_ws2/broadcast.log
trn2_3xl,broadcast,1,2,2,32,354.198,0.0,0.0,,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_c/lnc1_ws2/broadcast.log
trn2_3xl,broadcast,1,2,2,64,474.924,0.0,0.0,,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_c/lnc1_ws2/broadcast.log
trn2_3xl,broadcast,1,2,2,128,315.437,0.0,0.0,,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_c/lnc1_ws2/broadcast.log
trn2_3xl,broadcast,1,2,2,256,383.226,0.001,0.001,,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_c/lnc1_ws2/broadcast.log
trn2_3xl,broadcast,1,2,2,512,314.001,0.002,0.002,,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_c/lnc1_ws2/broadcast.log
trn2_3xl,broadcast,1,2,2,1024,518.403,0.002,0.002,,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_c/lnc1_ws2/broadcast.log
trn2_3xl,broadcast,1,2,2,2048,410.569,0.005,0.005,,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_c/lnc1_ws2/broadcast.log
trn2_3xl,broadcast,1,2,2,4096,645.735,0.006,0.006,,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_c/lnc1_ws2/broadcast.log
trn2_3xl,broadcast,1,2,2,8192,624.081,0.013,0.013,,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_c/lnc1_ws2/broadcast.log
trn2_3xl,broadcast,1,2,2,16384,588.454,0.028,0.028,,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_c/lnc1_ws2/broadcast.log
trn2_3xl,broadcast,1,2,2,32768,447.888,0.073,0.073,,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_c/lnc1_ws2/broadcast.log
trn2_3xl,broadcast,1,2,2,65536,623.034,0.105,0.105,,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_c/lnc1_ws2/broadcast.log
trn2_3xl,broadcast,1,2,2,131072,271.004,0.484,0.484,,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_c/lnc1_ws2/broadcast.log
trn2_3xl,broadcast,1,2,2,262144,785.791,0.334,0.334,,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_c/lnc1_ws2/broadcast.log
trn2_3xl,broadcast,1,2,2,524288,453.523,1.156,1.156,,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_c/lnc1_ws2/broadcast.log
trn2_3xl,broadcast,1,2,2,1048576,719.783,1.457,1.457,,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_c/lnc1_ws2/broadcast.log
trn2_3xl,broadcast,1,2,2,2097152,674.549,3.109,3.109,,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_c/lnc1_ws2/broadcast.log
trn2_3xl,broadcast,1,2,2,4194304,358.401,11.703,11.703,,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_c/lnc1_ws2/broadcast.log
trn2_3xl,broadcast,1,2,2,8388608,501.807,16.717,16.717,,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_c/lnc1_ws2/broadcast.log
trn2_3xl,broadcast,1,2,2,16777216,792.368,21.174,21.174,,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_c/lnc1_ws2/broadcast.log
trn2_3xl,broadcast,1,2,2,33554432,1377.932,24.351,24.351,,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_c/lnc1_ws2/broadcast.log
trn2_3xl,broadcast,1,2,2,67108864,2610.532,25.707,25.707,,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_c/lnc1_ws2/broadcast.log
trn2_3xl,broadcast,1,2,2,134217728,5047.72,26.59,26.59,,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_c/lnc1_ws2/broadcast.log
trn2_3xl,broadcast,1,2,2,268435456,9727.141,27.597,27.597,,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_c/lnc1_ws2/broadcast.log
trn2_3xl,broadcast,1,2,2,536870912,19001.231,28.255,28.255,,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_c/lnc1_ws2/broadcast.log
trn2_3xl,broadcast,1,2,2,1073741824,37344.303,28.752,28.752,,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_c/lnc1_ws2/broadcast.log
trn2_3xl,reduce_scatter,1,2,2,16,722.09,0.0,0.0,,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_c/lnc1_ws2/reduce_scatter.log
trn2_3xl,reduce_scatter,1,2,2,32,720.642,0.0,0.0,,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_c/lnc1_ws2/reduce_scatter.log
trn2_3xl,reduce_scatter,1,2,2,64,469.824,0.0,0.0,,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_c/lnc1_ws2/reduce_scatter.log
trn2_3xl,reduce_scatter,1,2,2,128,603.245,0.0,0.0,,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_c/lnc1_ws2/reduce_scatter.log
trn2_3xl,reduce_scatter,1,2,2,256,652.105,0.0,0.0,,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_c/lnc1_ws2/reduce_scatter.log
trn2_3xl,reduce_scatter,1,2,2,512,703.564,0.001,0.0,,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_c/lnc1_ws2/reduce_scatter.log
trn2_3xl,reduce_scatter,1,2,2,1024,690.711,0.001,0.001,,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_c/lnc1_ws2/reduce_scatter.log
trn2_3xl,reduce_scatter,1,2,2,2048,633.18,0.003,0.002,,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_c/lnc1_ws2/reduce_scatter.log
trn2_3xl,reduce_scatter,1,2,2,4096,678.983,0.006,0.003,,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_c/lnc1_ws2/reduce_scatter.log
trn2_3xl,reduce_scatter,1,2,2,8192,645.85,0.013,0.006,,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_c/lnc1_ws2/reduce_scatter.log
trn2_3xl,reduce_scatter,1,2,2,16384,632.833,0.026,0.013,,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_c/lnc1_ws2/reduce_scatter.log
trn2_3xl,reduce_scatter,1,2,2,32768,625.851,0.052,0.026,,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_c/lnc1_ws2/reduce_scatter.log
trn2_3xl,reduce_scatter,1,2,2,65536,614.031,0.107,0.053,,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_c/lnc1_ws2/reduce_scatter.log
trn2_3xl,reduce_scatter,1,2,2,131072,809.691,0.162,0.081,,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_c/lnc1_ws2/reduce_scatter.log
trn2_3xl,reduce_scatter,1,2,2,262144,225.837,1.161,0.58,,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_c/lnc1_ws2/reduce_scatter.log
trn2_3xl,reduce_scatter,1,2,2,524288,509.86,1.028,0.514,,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_c/lnc1_ws2/reduce_scatter.log
trn2_3xl,reduce_scatter,1,2,2,1048576,542.748,1.932,0.966,,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_c/lnc1_ws2/reduce_scatter.log
trn2_3xl,reduce_scatter,1,2,2,2097152,680.745,3.081,1.54,,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_c/lnc1_ws2/reduce_scatter.log
trn2_3xl,reduce_scatter,1,2,2,4194304,446.887,9.386,4.693,,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_c/lnc1_ws2/reduce_scatter.log
trn2_3xl,reduce_scatter,1,2,2,8388608,771.705,10.87,5.435,,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_c/lnc1_ws2/reduce_scatter.log
trn2_3xl,reduce_scatter,1,2,2,16777216,809.251,20.732,10.366,,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_c/lnc1_ws2/reduce_scatter.log
trn2_3xl,reduce_scatter,1,2,2,33554432,1078.517,31.112,15.556,,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_c/lnc1_ws2/reduce_scatter.log
trn2_3xl,reduce_scatter,1,2,2,67108864,1475.917,45.469,22.735,,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_c/lnc1_ws2/reduce_scatter.log
trn2_3xl,reduce_scatter,1,2,2,134217728,2654.994,50.553,25.276,,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_c/lnc1_ws2/reduce_scatter.log
trn2_3xl,reduce_scatter,1,2,2,268435456,5535.27,48.495,24.248,,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_c/lnc1_ws2/reduce_scatter.log
trn2_3xl,reduce_scatter,1,2,2,536870912,13650.987,39.328,19.664,,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_c/lnc1_ws2/reduce_scatter.log
trn2_3xl,reduce_scatter,1,2,2,1073741824,38336.994,28.008,14.004,,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_c/lnc1_ws2/reduce_scatter.log
trn2_3xl,all_gather,1,4,4,32,295.378,0.0,0.0,,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_c/lnc1_ws4/all_gather.log
trn2_3xl,all_gather,1,4,4,64,497.938,0.001,0.0,,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_c/lnc1_ws4/all_gather.log
trn2_3xl,all_gather,1,4,4,128,367.724,0.001,0.001,,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_c/lnc1_ws4/all_gather.log
trn2_3xl,all_gather,1,4,4,256,484.754,0.002,0.002,,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_c/lnc1_ws4/all_gather.log
trn2_3xl,all_gather,1,4,4,512,245.759,0.008,0.006,,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_c/lnc1_ws4/all_gather.log
trn2_3xl,all_gather,1,4,4,1024,564.062,0.007,0.005,,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_c/lnc1_ws4/all_gather.log
trn2_3xl,all_gather,1,4,4,2048,346.728,0.024,0.018,,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_c/lnc1_ws4/all_gather.log
trn2_3xl,all_gather,1,4,4,4096,365.98,0.045,0.034,,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_c/lnc1_ws4/all_gather.log
trn2_3xl,all_gather,1,4,4,8192,506.508,0.065,0.049,,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_c/lnc1_ws4/all_gather.log
trn2_3xl,all_gather,1,4,4,16384,364.699,0.18,0.135,,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_c/lnc1_ws4/all_gather.log
trn2_3xl,all_gather,1,4,4,32768,256.591,0.511,0.383,,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_c/lnc1_ws4/all_gather.log
trn2_3xl,all_gather,1,4,4,65536,651.41,0.402,0.302,,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_c/lnc1_ws4/all_gather.log
trn2_3xl,all_gather,1,4,4,131072,431.195,1.216,0.912,,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_c/lnc1_ws4/all_gather.log
trn2_3xl,all_gather,1,4,4,262144,517.342,2.027,1.52,,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_c/lnc1_ws4/all_gather.log
trn2_3xl,all_gather,1,4,4,524288,498.522,4.207,3.155,,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_c/lnc1_ws4/all_gather.log
trn2_3xl,all_gather,1,4,4,1048576,540.411,7.761,5.821,,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_c/lnc1_ws4/all_gather.log
trn2_3xl,all_gather,1,4,4,2097152,439.116,19.103,14.328,,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_c/lnc1_ws4/all_gather.log
trn2_3xl,all_gather,1,4,4,4194304,497.928,33.694,25.271,,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_c/lnc1_ws4/all_gather.log
trn2_3xl,all_gather,1,4,4,8388608,919.286,36.501,27.375,,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_c/lnc1_ws4/all_gather.log
trn2_3xl,all_gather,1,4,4,16777216,1581.905,42.423,31.817,,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_c/lnc1_ws4/all_gather.log
trn2_3xl,all_gather,1,4,4,33554432,2844.584,47.184,35.388,,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_c/lnc1_ws4/all_gather.log
trn2_3xl,all_gather,1,4,4,67108864,5062.826,53.021,39.766,,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_c/lnc1_ws4/all_gather.log
trn2_3xl,all_gather,1,4,4,134217728,9919.623,54.122,40.592,,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_c/lnc1_ws4/all_gather.log
trn2_3xl,all_gather,1,4,4,268435456,24254.456,44.27,33.202,,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_c/lnc1_ws4/all_gather.log
trn2_3xl,all_gather,1,4,4,536870912,48620.254,44.168,33.126,,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_c/lnc1_ws4/all_gather.log
