collective,world_size,lnc,nki_lnc,size_bytes,framework_us,nki_us,framework_tput_GBps,nki_tput_GBps,framework_busbw_GBps,nki_busbw_GBps,speedup,source_log
all_reduce,8,1,1,512,1072.2,104.4,0.001,0.01,0.001,0.009,10.27,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_f/nki_sweep_739.out
all_reduce,8,1,1,1024,1025.5,106.3,0.002,0.019,0.002,0.017,9.65,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_f/nki_sweep_739.out
all_reduce,8,1,1,2048,1008.4,102.3,0.004,0.04,0.004,0.035,9.86,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_f/nki_sweep_739.out
all_reduce,8,1,1,4096,1044.7,109.8,0.008,0.075,0.007,0.065,9.51,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_f/nki_sweep_739.out
all_reduce,8,1,1,8192,1003.9,105.1,0.016,0.156,0.014,0.136,9.55,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_f/nki_sweep_739.out
all_reduce,8,1,1,16384,999.5,106.3,0.033,0.308,0.029,0.27,9.4,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_f/nki_sweep_739.out
all_reduce,8,1,1,32768,957.2,102.8,0.068,0.637,0.06,0.558,9.31,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_f/nki_sweep_739.out
all_reduce,8,1,1,65536,1053.5,100.7,0.124,1.301,0.109,1.139,10.46,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_f/nki_sweep_739.out
all_reduce,8,1,1,131072,990.5,104.0,0.265,2.519,0.232,2.205,9.52,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_f/nki_sweep_739.out
all_reduce,8,1,1,262144,988.9,100.5,0.53,5.217,0.464,4.565,9.84,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_f/nki_sweep_739.out
all_reduce,8,1,1,524288,984.7,102.8,1.065,10.196,0.932,8.922,9.58,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_f/nki_sweep_739.out
all_reduce,8,1,1,1048576,1062.5,113.4,1.974,18.493,1.727,16.181,9.37,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_f/nki_sweep_739.out
all_reduce,8,1,1,2097152,1010.6,123.7,4.15,33.905,3.632,29.666,8.17,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_f/nki_sweep_739.out
all_reduce,8,1,1,4194304,1020.5,161.5,8.22,51.942,7.192,45.45,6.32,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_f/nki_sweep_739.out
all_gather,8,1,1,512,666.5,105.6,0.006,0.039,0.005,0.034,6.31,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_f/nki_sweep_741.out
all_gather,8,1,1,1024,668.8,98.3,0.012,0.083,0.011,0.073,6.8,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_f/nki_sweep_741.out
all_gather,8,1,1,2048,633.2,98.1,0.026,0.167,0.023,0.146,6.45,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_f/nki_sweep_741.out
all_gather,8,1,1,4096,646.6,101.7,0.051,0.322,0.044,0.282,6.36,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_f/nki_sweep_741.out
all_gather,8,1,1,8192,659.1,104.9,0.099,0.625,0.087,0.547,6.28,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_f/nki_sweep_741.out
all_gather,8,1,1,16384,632.9,101.1,0.207,1.297,0.181,1.135,6.26,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_f/nki_sweep_741.out
all_gather,8,1,1,32768,642.3,111.6,0.408,2.348,0.357,2.054,5.75,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_f/nki_sweep_741.out
all_gather,8,1,1,65536,676.4,102.0,0.775,5.138,0.678,4.496,6.63,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_f/nki_sweep_741.out
all_gather,8,1,1,131072,654.1,104.9,1.603,9.998,1.403,8.749,6.24,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_f/nki_sweep_741.out
all_gather,8,1,1,262144,620.6,110.7,3.379,18.948,2.957,16.579,5.61,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_f/nki_sweep_741.out
